"Page.total.likes","Type","Category","Post.Month","Post.Weekday","Post.Hour","Paid","Lifetime.Post.Total.Reach","Lifetime.Post.Total.Impressions","Lifetime.Engaged.Users","Lifetime.Post.Consumers","Lifetime.Post.Consumptions","Lifetime.Post.Impressions.by.people.who.have.liked.your.Page","Lifetime.Post.reach.by.people.who.like.your.Page","Lifetime.People.who.have.liked.your.Page.and.engaged.with.your.post","comment","like","share","Total.Interactions","RANK"
111620,2,3,4,1,14,1,105632,147918,3984,2254,3391,48575,27328,1936,51,1998,128,2177,1
117764,2,3,5,5,13,0,81856,124753,3000,1637,2718,52477,27392,1756,45,1639,122,1806,2
123047,2,3,6,1,10,0,56672,104966,2579,1334,1850,78678,37408,1831,20,1372,47,1439,3
117764,2,3,5,7,2,0,38960,65149,2298,1702,3000,57722,34368,1978,37,821,90,948,4
109670,2,2,4,1,13,1,32208,55696,1933,1367,2123,43980,24720,1568,6,766,109,881,5
120050,2,3,5,4,12,0,39040,55633,1684,1183,2123,32021,19712,1101,16,617,58,691,6
126141,2,1,6,4,12,0,20896,29062,1418,1038,2048,19738,13656,998,103,469,33,605,7
113028,3,2,4,6,3,1,17912,34774,2750,2567,6591,21009,11408,2256,17,447,123,587,8
113028,2,1,4,6,14,0,28352,55202,1476,1242,1990,47899,24512,1185,45,407,76,528,9
116435,2,3,5,3,7,0,18552,25542,1005,676,1021,15973,10584,676,4,400,25,429,10
107907,1,1,4,2,6,0,70912,94172,1374,1106,1267,42338,27232,788,1,379,40,420,11
117764,2,1,5,4,10,0,18056,32576,1062,875,1389,26514,14728,701,25,307,58,390,12
107907,2,1,4,3,13,1,46192,80227,1364,1096,1697,32842,16960,762,9,329,38,376,13
124940,2,3,6,5,3,1,11608,15323,985,705,940,8419,5840,594,4,330,29,363,14
115368,2,3,4,2,13,0,6692,11859,905,742,1165,8391,4692,737,4,304,47,355,15
116091,2,3,5,7,2,0,6984,12066,780,631,1116,8188,4776,570,25,256,54,335,16
111620,2,3,4,4,7,1,12824,18929,830,623,864,15678,10968,705,0,286,30,316,17
119198,2,3,5,5,10,1,6460,11373,823,706,1197,6279,3612,505,25,244,44,313,18
116091,2,2,5,1,3,0,5976,10441,689,544,833,7055,4046,487,2,267,40,309,19
111620,2,3,4,2,13,1,7492,12414,838,713,1274,8452,5024,670,8,236,51,295,20
124940,2,2,6,6,9,0,6952,11469,909,779,1229,7431,4292,646,11,231,43,285,21
109670,2,3,4,6,20,0,5994,9970,964,838,1254,6896,3998,683,11,235,34,280,22
126424,4,1,6,2,13,0,139008,277100,1779,1643,2356,107502,38720,1008,23,204,44,271,23
116435,3,1,5,4,3,1,23832,42313,1701,1570,2838,37816,21352,1578,6,210,39,255,24
117764,2,3,5,4,4,0,5016,8745,679,569,966,5904,3322,488,6,212,36,254,25
120050,2,3,5,3,12,0,21248,34095,1049,918,1438,11280,6664,536,20,199,32,251,26
124940,2,3,6,4,2,0,4762,8303,842,725,1014,6086,3494,569,2,208,28,238,27
115893,2,1,4,3,13,0,24264,51899,1599,1485,3153,48466,21928,1392,9,194,33,236,28
123047,2,2,6,4,5,1,11304,20647,1141,1065,1874,14792,7800,732,18,168,49,235,29
124940,2,1,6,5,13,1,63840,102620,1382,1229,1871,32470,16480,760,9,197,28,234,30
117764,2,2,5,2,11,0,6444,11509,734,625,1157,7910,4136,512,5,194,33,232,31
123047,2,3,6,4,13,0,6768,11525,768,672,930,7048,4012,408,2,180,44,226,32
107907,2,3,4,4,13,0,6360,11079,715,631,1028,6661,3864,505,9,164,52,225,33
126345,2,1,6,2,9,1,5854,11854,1043,947,19779,5901,2894,583,11,202,5,218,34
111620,2,1,4,7,14,0,128064,251269,1539,1408,2506,84046,32384,985,8,186,18,212,35
115893,2,3,4,4,15,1,5212,9035,736,642,1005,6258,3608,597,1,179,30,210,36
116435,2,3,5,4,13,1,5490,9518,647,555,847,6549,3716,476,4,166,33,203,37
113028,2,2,4,7,3,1,5582,9903,708,620,923,6315,3422,557,2,163,35,200,38
126345,2,1,6,2,3,0,109056,191324,2552,2457,4906,48765,25024,1353,7,148,39,194,39
117764,2,3,5,6,8,1,4336,7705,574,484,847,5156,2752,403,12,155,23,190,40
115368,2,3,4,2,2,1,5594,9586,739,670,1048,5732,3256,555,12,138,39,189,41
124940,2,2,6,3,13,0,6150,10217,750,676,969,6253,3742,445,12,148,28,188,42
124940,2,3,6,3,3,1,4644,8178,768,683,1000,5651,3144,506,4,154,26,184,43
109670,2,3,4,5,7,1,5298,8875,657,575,874,5640,3206,471,5,140,38,183,44
120050,2,3,5,4,4,1,4032,7278,684,607,848,4935,2644,432,7,139,34,180,45
117764,2,3,5,7,13,1,4362,7378,604,509,767,5681,3216,469,3,156,20,179,46
116091,2,2,5,7,14,0,5206,8962,565,492,878,6461,3708,414,1,144,29,174,47
106928,2,2,4,5,3,0,5560,9301,642,586,984,6600,3916,463,7,142,24,173,48
125612,2,2,6,4,3,0,4320,7127,753,681,1021,4569,2782,459,5,141,26,172,49
106928,2,2,4,5,13,0,5302,8769,624,566,979,6021,3606,441,4,138,26,168,50
116435,2,3,5,1,13,0,4202,7633,562,481,730,6173,3298,428,3,148,16,167,51
116091,3,2,5,5,7,0,9232,16811,908,861,1967,12996,7200,843,1,129,36,166,52
111620,2,1,4,2,6,1,44288,60918,1215,1105,1746,22130,14224,814,2,152,11,165,53
124940,2,3,6,2,13,0,22464,29650,1029,934,1408,9376,6864,546,3,142,18,163,54
115368,2,3,4,3,8,0,4280,7594,624,555,771,4632,2530,497,1,124,32,157,55
124940,2,1,6,4,12,0,58304,80871,884,715,1034,2289,1408,340,0,148,7,155,56
126141,2,1,6,6,12,0,28112,47721,1631,1537,2438,41207,23440,1225,11,129,12,152,57
107907,2,1,4,3,4,1,39568,47128,741,652,957,22022,16096,519,4,128,17,149,58
107907,2,3,4,7,13,0,4240,7057,601,542,730,5026,2868,461,3,114,21,138,59
117764,2,3,5,1,13,1,4458,7753,491,432,676,5493,3106,340,6,101,29,136,60
124940,2,3,6,2,3,0,3754,6295,791,730,1072,4343,2590,482,8,107,20,135,61
119198,2,3,5,3,5,0,4344,8025,692,626,872,4911,2528,367,1,107,26,134,62
109670,2,1,4,3,13,1,5402,8891,700,633,1078,6733,3992,514,0,112,14,126,63
126141,2,1,6,4,22,1,20560,24112,936,860,1126,5648,3856,460,14,102,9,125,64
107907,2,3,4,7,3,0,4770,7716,494,455,632,5040,3114,344,2,97,25,124,65
120050,2,3,5,5,9,1,3776,6736,577,529,719,4846,2614,371,3,97,22,122,66
113028,2,1,4,5,5,0,9084,15194,962,916,1897,11853,7024,758,2,93,26,121,67
116435,2,2,5,2,14,0,4132,7165,552,495,713,4908,2754,398,2,98,18,118,68
126345,3,2,6,7,11,0,12044,20327,2240,2193,3599,17717,10400,2119,0,104,13,117,69
109670,2,1,4,1,2,0,20920,26026,705,642,913,13546,9768,538,1,96,18,115,70
117764,2,3,5,3,11,0,3528,6181,470,415,583,4249,2352,322,2,95,17,114,71
116091,2,3,5,6,3,0,3332,5797,463,406,552,4347,2330,341,0,87,18,105,72
106928,2,1,4,4,3,1,5290,8132,612,570,857,6032,3794,454,1,89,14,104,73
124940,2,3,6,1,3,0,3576,5525,664,618,870,4229,2672,403,2,84,13,99,74
121540,2,2,5,7,14,0,3806,6486,722,658,880,4955,2772,361,1,79,17,97,75
125612,2,2,6,3,3,0,3322,5969,610,569,852,4111,2236,375,1,71,23,95,76
126141,3,2,6,6,4,0,8628,14847,870,843,1692,11970,6796,774,4,72,18,94,77
125612,2,1,6,2,13,0,3600,5807,691,656,913,3351,2110,436,0,72,21,93,78
106928,2,3,4,4,13,0,4406,6769,477,433,571,4550,2830,335,1,75,15,91,79
123047,2,2,6,5,3,0,3322,5553,702,656,863,3484,1968,328,2,74,14,90,80
126345,2,2,6,1,4,0,3046,4909,909,872,1147,3559,2126,477,1,71,17,89,81
109670,2,1,4,6,13,0,6172,10417,718,684,906,7692,4234,508,1,64,22,87,82
119198,2,3,5,2,1,0,3024,5630,596,560,721,4114,2098,341,0,64,20,84,83
123047,2,3,6,2,5,1,3662,6476,560,522,677,4930,2660,319,2,67,14,83,84
124940,2,3,6,7,3,1,4022,6503,647,616,995,5416,3312,423,3,65,14,82,85
111620,2,3,4,3,7,0,6596,9835,564,526,678,8242,5352,456,0,66,13,79,86
107907,2,3,4,1,3,0,4552,7253,471,444,569,4440,2664,316,1,52,24,77,87
123047,2,3,6,5,12,0,3234,5113,756,724,937,3476,2174,347,0,58,17,75,88
124940,2,3,6,7,10,0,3028,4794,579,548,740,3574,2184,349,2,59,12,73,89
125612,2,3,6,1,3,0,2763,4388,564,523,650,3519,2124,375,0,62,10,72,90
109670,2,3,4,7,14,0,3884,6406,518,483,597,4747,2686,392,1,57,13,71,91
109670,2,1,4,5,13,0,6668,10701,669,642,943,7956,4696,492,3,53,13,69,92
125612,2,1,6,4,11,0,2402,4072,170,145,286,3147,1794,137,5,57,5,67,93
125612,2,1,6,2,2,0,11620,21564,1160,1138,2042,20024,10568,920,5,54,7,66,94
123047,2,3,6,1,3,1,3294,5499,526,488,599,4658,2710,305,2,57,6,65,95
117764,1,1,5,1,2,0,12540,19301,344,322,396,16914,11008,289,3,46,14,63,96
109670,2,3,4,2,2,1,3130,5313,522,495,616,3821,2112,385,0,48,14,62,97
119198,2,3,5,2,12,0,2718,4698,566,528,663,3601,1992,306,0,50,10,60,98
123047,2,3,6,2,13,0,3418,5659,581,546,770,4491,2620,327,2,51,6,59,99
107907,2,1,4,6,9,0,3544,6156,509,482,701,5011,2746,387,1,51,6,58,100
113028,1,1,4,5,7,1,35360,45260,339,325,477,9105,5472,156,7,38,11,56,101
115368,2,1,4,1,2,0,11336,15350,583,547,724,13876,10160,484,4,41,9,54,102
126345,2,2,6,1,12,0,3212,4908,735,720,897,3399,2162,375,1,40,8,49,103
121540,2,3,6,1,3,0,3110,5405,732,712,892,4605,2540,342,2,33,10,45,104
109670,2,1,4,2,13,0,3334,5953,584,565,842,4954,2604,440,4,37,3,44,105
123047,2,1,6,3,11,0,13544,18474,759,733,1082,7326,4120,408,0,36,5,41,106
109670,2,1,4,3,8,0,9880,12695,524,497,658,7072,4732,382,0,35,5,40,107
126141,2,1,6,7,4,1,9652,16968,1400,1381,2801,15917,8972,1035,1,34,4,39,108
124940,2,1,6,6,12,1,52736,73584,1635,1622,2824,18580,10144,876,0,24,4,28,109
125612,2,1,6,4,7,0,1729,3289,596,591,735,2888,1406,340,0,23,2,25,110
125612,2,1,6,3,11,0,2585,4410,569,560,781,3802,2144,348,0,19,5,24,111
126141,2,1,6,5,11,1,2431,4180,389,383,7980,3963,2301,342,0,15,3,18,112
124940,2,1,6,7,4,0,8324,14480,840,834,1388,13786,7736,662,0,14,1,15,113
