"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,55.78,0.65,56.43,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,49.53,0.65,50.18,2
0,0,2,0,0,0,0,0,0,0,0,0,0,0,44.43,0.75,45.18,3
0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.94,0.84,40.78,4
0,0,0,0,2,0,0,0,0,0,0,0,0,0,35.96,0.94,36.9,5
1,1,0,0,0,0,0,0,0,0,0,0,0,1,34.08,2.61,36.69,6
1,0,1,0,0,0,0,0,0,0,0,0,0,1,32.27,2.89,35.16,7
0,0,0,0,0,2,0,0,0,0,0,0,0,0,32.26,0.86,33.12,8
0,1,1,0,0,0,0,0,0,0,0,0,0,1,31.12,2.73,33.85,9
1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.95,2.7,33.65,10
1,0,0,1,0,0,0,0,0,0,0,0,0,1,30.72,3.17,33.89,11
0,1,0,1,0,0,0,0,0,0,0,0,0,1,29.6,2.99,32.59,12
1,0,0,0,1,0,0,0,0,0,0,0,0,1,29.41,3.44,32.85,13
0,0,0,0,0,0,2,0,0,0,0,0,0,0,29.15,0.87,30.02,14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,28.98,3,31.98,15
0,0,1,1,0,0,0,0,0,0,0,0,0,1,28.8,3,31.8,16
0,1,0,0,1,0,0,0,0,0,0,0,0,1,28.33,3.23,31.56,17
0,1,1,0,0,0,0,0,0,0,0,0,0,0,27.87,2.82,30.69,18
0,0,1,0,1,0,0,0,0,0,0,0,0,1,27.58,3.21,30.79,19
1,0,0,1,0,0,0,0,0,0,0,0,0,0,27.28,3.3,30.58,20
0,0,0,1,1,0,0,0,0,0,0,0,0,1,27.2,3.23,30.43,21
1,0,0,0,0,1,0,0,0,0,0,0,0,1,26.66,3.59,30.25,22
0,0,0,0,0,0,0,2,0,0,0,0,0,0,26.44,0.87,27.31,23
0,1,0,1,0,0,0,0,0,0,0,0,0,0,26.21,3.1,29.31,24
1,0,0,0,1,0,0,0,0,0,0,0,0,0,25.83,3.58,29.41,25
0,1,0,0,0,1,0,0,0,0,0,0,0,1,25.63,3.3,28.93,26
1,0,0,0,0,0,1,0,0,0,0,0,0,1,25.58,3.86,29.44,27
0,0,1,1,0,0,0,0,0,0,0,0,0,0,25.48,3.1,28.58,28
0,0,1,0,0,1,0,0,0,0,0,0,0,1,24.94,3.24,28.18,29
0,1,0,0,1,0,0,0,0,0,0,0,0,0,24.83,3.35,28.18,30
0,0,0,1,0,1,0,0,0,0,0,0,0,1,24.61,3.24,27.85,31
1,0,0,0,0,0,0,1,0,0,0,0,0,1,24.57,4.06,28.63,32
0,0,0,0,1,1,0,0,0,0,0,0,0,1,24.55,3.28,27.83,33
0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.14,3.32,27.46,34
1,0,0,0,0,0,0,0,0,1,0,0,0,1,24.08,4.33,28.41,35
0,0,0,0,0,0,0,0,2,0,0,0,0,0,23.95,0.79,24.74,36
0,0,0,1,1,0,0,0,0,0,0,0,0,0,23.86,3.34,27.2,37
0,1,0,0,0,0,1,0,0,0,0,0,0,1,23.53,3.49,27.02,38
1,0,0,0,0,0,0,0,0,0,1,0,0,1,23.49,4.25,27.74,39
1,0,0,0,0,0,0,0,1,0,0,0,0,1,23.33,4,27.33,40
1,0,0,0,0,0,0,0,0,0,0,1,0,1,23,4.12,27.12,41
0,0,1,0,0,0,1,0,0,0,0,0,0,1,22.88,3.36,26.24,42
1,0,0,0,0,1,0,0,0,0,0,0,0,0,22.87,3.76,26.63,43
0,1,0,0,0,0,0,1,0,0,0,0,0,1,22.67,3.71,26.38,44
0,0,0,1,0,0,1,0,0,0,0,0,0,1,22.59,3.32,25.91,45
0,0,0,0,1,0,1,0,0,0,0,0,0,1,22.57,3.35,25.92,46
1,0,0,0,0,0,0,0,0,0,0,0,1,1,22.55,4.02,26.57,47
0,0,0,0,0,1,1,0,0,0,0,0,0,1,22.33,3.2,25.53,48
0,0,0,0,0,0,0,0,0,2,0,0,0,0,22.1,0.91,23.01,49
0,1,0,0,0,1,0,0,0,0,0,0,0,0,21.9,3.44,25.34,50
0,1,0,0,0,0,0,0,1,0,0,0,0,1,21.69,3.72,25.41,51
1,0,0,0,0,0,1,0,0,0,0,0,0,0,21.68,4.04,25.72,52
0,0,1,0,0,1,0,0,0,0,0,0,0,0,21.28,3.37,24.65,53
0,1,0,0,0,0,0,0,0,1,0,0,0,1,21.18,3.93,25.11,54
0,0,0,0,1,1,0,0,0,0,0,0,0,0,21.05,3.41,24.46,55
0,0,0,1,0,1,0,0,0,0,0,0,0,0,21.03,3.36,24.39,56
0,0,1,0,0,0,0,1,0,0,0,0,0,1,20.98,3.51,24.49,57
0,0,0,0,0,0,1,1,0,0,0,0,0,1,20.8,3.19,23.99,58
0,0,0,0,1,0,0,1,0,0,0,0,0,1,20.71,3.41,24.12,59
0,0,0,1,0,0,0,1,0,0,0,0,0,1,20.7,3.42,24.12,60
0,0,0,0,0,1,0,1,0,0,0,0,0,1,20.7,3.25,23.95,61
0,1,0,0,0,0,0,0,0,0,1,0,0,1,20.63,3.83,24.46,62
1,0,0,0,0,0,0,1,0,0,0,0,0,0,20.55,4.25,24.8,63
0,0,0,0,0,0,0,0,0,0,2,0,0,0,20.31,0.83,21.14,64
0,1,0,0,0,0,0,0,0,0,0,1,0,1,20.16,3.7,23.86,65
0,0,1,0,0,0,0,0,1,0,0,0,0,1,20.13,3.56,23.69,66
1,0,0,0,0,0,0,0,0,1,0,0,0,0,19.99,4.53,24.52,67
0,1,0,0,0,0,0,0,0,0,0,0,1,1,19.74,3.57,23.31,68
0,0,1,0,0,0,0,0,0,1,0,0,0,1,19.66,3.74,23.4,69
0,1,0,0,0,0,1,0,0,0,0,0,0,0,19.6,3.65,23.25,70
1,0,0,0,0,0,0,0,0,0,1,0,0,0,19.34,4.44,23.78,71
1,0,0,0,0,0,0,0,1,0,0,0,0,0,19.21,4.17,23.38,72
0,0,1,0,0,0,0,0,0,0,1,0,0,1,19.16,3.63,22.79,73
0,0,0,0,0,0,1,0,1,0,0,0,0,1,19.06,3.12,22.18,74
0,0,0,0,0,0,0,1,1,0,0,0,0,1,19.06,3.11,22.17,75
0,0,1,0,0,0,1,0,0,0,0,0,0,0,19.03,3.5,22.53,76
0,0,0,0,1,0,1,0,0,0,0,0,0,0,18.91,3.49,22.4,77
0,0,0,0,0,1,0,0,1,0,0,0,0,1,18.86,3.17,22.03,78
0,0,0,1,0,0,1,0,0,0,0,0,0,0,18.83,3.47,22.3,79
0,0,0,0,1,0,0,0,1,0,0,0,0,1,18.83,3.35,22.18,80
0,0,0,1,0,0,0,0,1,0,0,0,0,1,18.82,3.41,22.23,81
0,0,0,0,0,0,0,0,0,0,0,2,0,0,18.8,0.76,19.56,82
1,0,0,0,0,0,0,0,0,0,0,1,0,0,18.78,4.31,23.09,83
0,0,0,0,0,1,1,0,0,0,0,0,0,0,18.71,3.32,22.03,84
0,0,1,0,0,0,0,0,0,0,0,1,0,1,18.71,3.49,22.2,85
0,1,0,0,0,0,0,1,0,0,0,0,0,0,18.64,3.88,22.52,86
0,0,0,1,0,0,0,0,0,1,0,0,0,1,18.45,3.64,22.09,87
0,0,1,0,0,0,0,0,0,0,0,0,1,1,18.29,3.37,21.66,88
1,0,0,0,0,0,0,0,0,0,0,0,1,0,18.28,4.19,22.47,89
0,0,0,0,0,0,0,1,0,1,0,0,0,1,18.16,3.16,21.32,90
0,0,0,0,0,0,0,0,1,1,0,0,0,1,18.16,3.01,21.17,91
0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.95,3.52,21.47,92
0,0,0,0,0,0,0,0,0,1,1,0,0,1,17.77,3.02,20.79,93
0,0,0,0,0,0,1,0,0,1,0,0,0,1,17.76,3.23,20.99,94
0,0,0,0,0,0,0,0,0,0,0,0,2,0,17.59,0.7,18.29,95
0,1,0,0,0,0,0,0,1,0,0,0,0,0,17.58,3.89,21.47,96
0,0,0,1,0,0,0,0,0,0,0,1,0,1,17.54,3.38,20.92,97
0,0,0,0,0,1,0,0,0,1,0,0,0,1,17.44,3.31,20.75,98
0,0,0,0,1,0,0,0,0,1,0,0,0,1,17.43,3.53,20.96,99
0,0,0,1,0,0,0,0,0,0,0,0,1,1,17.13,3.25,20.38,100
0,0,0,0,0,0,1,1,0,0,0,0,0,0,17.1,3.31,20.41,101
0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.01,4.11,21.12,102
0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.01,3.47,20.48,103
0,0,1,0,0,0,0,1,0,0,0,0,0,0,16.96,3.67,20.63,104
0,0,0,0,0,1,0,1,0,0,0,0,0,0,16.93,3.37,20.3,105
0,0,0,0,1,0,0,1,0,0,0,0,0,0,16.88,3.56,20.44,106
0,0,0,0,0,0,0,0,1,0,1,0,0,1,16.88,2.85,19.73,107
0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.78,3.57,20.35,108
0,0,0,0,0,0,0,1,0,0,1,0,0,1,16.73,3.01,19.74,109
0,0,0,0,1,0,0,0,0,0,0,1,0,1,16.6,3.32,19.92,110
0,0,0,0,0,0,0,0,0,1,0,1,0,1,16.55,2.86,19.41,111
0,1,0,0,0,0,0,0,0,0,1,0,0,0,16.4,4.01,20.41,112
0,0,0,0,0,0,1,0,0,0,1,0,0,1,16.28,3.09,19.37,113
0,0,0,0,1,0,0,0,0,0,0,0,1,1,16.2,3.19,19.39,114
0,0,1,0,0,0,0,0,1,0,0,0,0,0,16.04,3.72,19.76,115
0,0,0,0,0,1,0,0,0,0,1,0,0,1,16.02,3.21,19.23,116
0,0,0,0,0,0,0,0,0,0,1,1,0,1,15.97,2.69,18.66,117
0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.88,3.86,19.74,118
0,0,0,0,0,1,0,0,0,0,0,1,0,1,15.67,3.12,18.79,119
0,0,1,0,0,0,0,0,0,1,0,0,0,0,15.5,3.91,19.41,120
0,0,0,0,0,0,0,0,1,0,0,1,0,1,15.49,2.7,18.19,121
0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.4,3.74,19.14,122
0,0,0,0,0,0,0,1,0,0,0,1,0,1,15.32,2.86,18.18,123
0,0,0,0,0,1,0,0,0,0,0,0,1,1,15.31,2.98,18.29,124
0,0,0,0,0,0,0,1,1,0,0,0,0,0,15.23,3.22,18.45,125
0,0,0,0,0,0,0,0,0,1,0,0,1,1,15.21,2.71,17.92,126
0,0,0,0,0,0,1,0,1,0,0,0,0,0,15.2,3.24,18.44,127
0,0,0,0,0,1,0,0,1,0,0,0,0,0,14.93,3.29,18.22,128
0,0,1,0,0,0,0,0,0,0,1,0,0,0,14.93,3.8,18.73,129
0,0,0,0,0,0,1,0,0,0,0,1,0,1,14.92,2.97,17.89,130
0,0,0,0,1,0,0,0,1,0,0,0,0,0,14.83,3.5,18.33,131
0,0,0,0,0,0,0,0,0,0,1,0,1,1,14.8,2.53,17.33,132
0,0,0,1,0,0,0,0,1,0,0,0,0,0,14.73,3.56,18.29,133
0,0,0,0,0,0,1,0,0,0,0,0,1,1,14.63,2.89,17.52,134
0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.43,3.65,18.08,135
0,0,0,1,0,0,0,0,0,1,0,0,0,0,14.31,3.81,18.12,136
0,0,0,0,0,0,0,0,0,0,0,1,1,1,14.3,2.35,16.65,137
0,0,0,0,0,0,0,0,1,1,0,0,0,0,14.28,3.12,17.4,138
0,0,0,0,0,0,0,1,0,1,0,0,0,0,14.26,3.29,17.55,139
0,0,0,0,0,0,0,0,1,0,0,0,1,1,14.16,2.54,16.7,140
0,0,0,0,0,0,0,1,0,0,0,0,1,1,13.99,2.75,16.74,141
0,0,1,0,0,0,0,0,0,0,0,0,1,0,13.95,3.52,17.47,142
0,0,0,0,0,0,0,0,0,1,1,0,0,0,13.87,3.14,17.01,143
0,0,0,0,0,0,1,0,0,1,0,0,0,0,13.78,3.36,17.14,144
0,0,0,1,0,0,0,0,0,0,1,0,0,0,13.76,3.69,17.45,145
0,0,0,0,0,1,0,0,0,1,0,0,0,0,13.38,3.45,16.83,146
0,0,0,0,1,0,0,0,0,1,0,0,0,0,13.3,3.7,17,147
0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.27,3.53,16.8,148
0,0,0,0,0,0,0,0,1,0,1,0,0,0,12.89,2.97,15.86,149
0,0,0,0,1,0,0,0,0,0,1,0,0,0,12.84,3.64,16.48,150
0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.83,3.39,16.22,151
0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.69,3.15,15.84,152
0,0,0,0,0,0,0,0,0,1,0,1,0,0,12.53,2.98,15.51,153
0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.36,3.48,15.84,154
0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.18,3.23,15.41,155
0,0,0,0,0,0,0,0,0,0,1,1,0,0,11.92,2.79,14.71,156
0,0,0,0,1,0,0,0,0,0,0,0,1,0,11.92,3.34,15.26,157
0,0,0,0,0,1,0,0,0,0,1,0,0,0,11.82,3.36,15.18,158
0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.43,3.26,14.69,159
0,0,0,0,0,0,0,0,1,0,0,1,0,0,11.39,2.8,14.19,160
0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.15,2.99,14.14,161
0,0,0,0,0,0,0,0,0,1,0,0,1,0,11.07,2.82,13.89,162
0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.01,3.11,14.12,163
0,0,0,0,0,0,1,0,0,0,0,1,0,0,10.69,3.11,13.8,164
0,0,0,0,0,0,0,0,0,0,1,0,1,0,10.64,2.63,13.27,165
0,0,0,0,0,0,1,0,0,0,0,0,1,0,10.35,3.02,13.37,166
0,0,0,0,0,0,0,0,0,0,0,1,1,0,10.1,2.44,12.54,167
0,0,0,0,0,0,0,0,1,0,0,0,1,0,9.93,2.65,12.58,168
0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.72,2.87,12.59,169
